n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 23960.30000   421.58600     0.00000     0.00000
 23940.60000   430.37500     0.00000   243.73260
 23960.30000   450.11400     0.00000   270.36390
 24036.10000   450.11400     0.00000   231.67970
 24111.90000   450.11400     0.00000   264.23150
 24187.70000   450.11400     0.00000   306.55870
 24263.50000   450.11400     0.00000   273.47580
 24339.30000   450.11400     0.00000   228.34010
 24415.10000   450.11400     0.00000   267.79980
 24491.00000   450.11400     0.00000   413.16340
 24566.80000   450.11400     0.00000   229.95970
 24642.60000   450.11400     0.00000   296.81210
 24718.40000   450.11400     0.00000   231.82620
 24794.20000   450.11400     0.00000   317.32280
 24870.00000   450.11400     0.00000   224.23770
 24945.80000   450.11400     0.00000   223.82250
 25021.60000   450.11400     0.00000   222.84330
 25097.40000   450.11400     0.00000   263.56440
 25173.20000   450.11400     0.00000   271.05080
 25249.00000   450.11400     0.00000   224.30400
 25324.80000   450.11400     0.00000   232.95440
 25400.70000   450.11400     0.00000   231.95060
 25476.50000   450.11400     0.00000   232.15400
 25552.30000   450.11400     0.00000   288.45660
 25628.10000   450.11400     0.00000   255.70890
 25703.90000   450.11400     0.00000   241.14640
 25779.70000   450.11400     0.00000   282.33260
 23896.20000   450.11400     0.00000     0.00000
 23888.10000   453.72900     0.00000     0.00000
 23884.50000   455.33800     0.00000     0.00000
 23835.60000   477.08300     0.00000     0.00000
 23808.70000   489.09000     0.00000   327.82100
 23783.20000   500.43700     0.00000   163.70870
 23732.90000   522.84300     0.00000     0.00000
 23730.70000   523.79200     0.00000     0.00000
 23732.90000   525.92300     0.00000   892.14060
 23808.70000   525.92300     0.00000   222.49670
 23884.50000   525.92300     0.00000   239.24430
 23960.30000   525.92300     0.00000   279.30150
 24036.10000   525.92300     0.00000   243.86020
 24111.90000   525.92300     0.00000   227.64830
 24187.70000   525.92300     0.00000   286.48830
 24263.50000   525.92300     0.00000   301.35290
 24339.30000   525.92300     0.00000   223.94660
 24415.10000   525.92300     0.00000   284.43430
 24491.00000   525.92300     0.00000   286.27990
 24566.80000   525.92300     0.00000   293.70010
 24642.60000   525.92300     0.00000   230.13420
 24718.40000   525.92300     0.00000   229.32060
 24794.20000   525.92300     0.00000   253.11380
 24870.00000   525.92300     0.00000   261.94070
 24945.80000   525.92300     0.00000   227.20220
 25021.60000   525.92300     0.00000   265.98920
 25097.40000   525.92300     0.00000   237.14760
 25173.20000   525.92300     0.00000   266.02930
 25249.00000   525.92300     0.00000   259.22200
 25324.80000   525.92300     0.00000   288.37590
 25400.70000   525.92300     0.00000   232.26380
 25476.50000   525.92300     0.00000   255.39320
 25552.30000   525.92300     0.00000   226.06780
 25628.10000   525.92300     0.00000   286.54280
 25703.90000   525.92300     0.00000   303.69100
 25779.70000   525.92300     0.00000   322.19460
 23725.90000   525.92300     0.00000   278.55690
 23678.30000   547.14600     0.00000   172.17300
 23657.10000   556.59500     0.00000   228.68640
 23625.80000   570.50000     0.00000   242.73820
 23581.20000   590.34700     0.00000   270.80040
 23573.40000   593.85400     0.00000   270.80040
 23581.20000   601.73200     0.00000   420.06210
 23657.10000   601.73200     0.00000   369.29450
 23732.90000   601.73200     0.00000   409.28160
 23808.70000   601.73200     0.00000   270.95900
 23884.50000   601.73200     0.00000   300.26460
 23960.30000   601.73200     0.00000   379.59020
 24036.10000   601.73200     0.00000   233.07230
 24111.90000   601.73200     0.00000   399.26680
 24187.70000   601.73200     0.00000   285.40520
 24263.50000   601.73200     0.00000   272.97450
 24339.30000   601.73200     0.00000   244.38400
 24415.10000   601.73200     0.00000   222.52710
 24491.00000   601.73200     0.00000   229.82800
 24566.80000   601.73200     0.00000   295.64000
 24642.60000   601.73200     0.00000   226.66470
 24718.40000   601.73200     0.00000   268.39710
 24794.20000   601.73200     0.00000   237.12550
 24870.00000   601.73200     0.00000   285.55660
 24945.80000   601.73200     0.00000   273.02990
 25021.60000   601.73200     0.00000   295.81470
 25097.40000   601.73200     0.00000   299.64800
 25173.20000   601.73200     0.00000   293.69780
 25249.00000   601.73200     0.00000   287.31140
 25324.80000   601.73200     0.00000   257.47700
 25400.70000   601.73200     0.00000   288.51650
 25476.50000   601.73200     0.00000   257.30890
 25552.30000   601.73200     0.00000   242.45750
 25628.10000   601.73200     0.00000   258.01260
 25703.90000   601.73200     0.00000   262.84590
 25779.70000   601.73200     0.00000   289.19550
 23555.70000   601.73200     0.00000   352.74690
 23520.90000   617.20800     0.00000   246.98250
 23505.40000   624.09900     0.00000   255.89180
 23468.50000   640.56300     0.00000   275.64220
 23429.60000   657.85100     0.00000   335.41950
 23416.00000   663.91700     0.00000   345.11080
 23429.60000   677.54000     0.00000   255.12080
 23505.40000   677.54000     0.00000   210.78060
 23581.20000   677.54000     0.00000   306.86550
 23657.10000   677.54000     0.00000   301.54460
 23732.90000   677.54000     0.00000   290.25250
 23808.70000   677.54000     0.00000   292.88310
 23884.50000   677.54000     0.00000   224.34960
 23960.30000   677.54000     0.00000   222.35030
 24036.10000   677.54000     0.00000   392.55490
 24111.90000   677.54000     0.00000   230.63150
 24187.70000   677.54000     0.00000   244.13950
 24263.50000   677.54000     0.00000   317.94080
 24339.30000   677.54000     0.00000   230.55890
 24415.10000   677.54000     0.00000   223.73360
 24491.00000   677.54000     0.00000   241.99670
 24566.80000   677.54000     0.00000   241.32310
 24642.60000   677.54000     0.00000   291.73550
 24718.40000   677.54000     0.00000   296.64900
 24794.20000   677.54000     0.00000   238.62400
 24870.00000   677.54000     0.00000   275.78910
 24945.80000   677.54000     0.00000   262.02540
 25021.60000   677.54000     0.00000   280.33780
 25097.40000   677.54000     0.00000   233.13710
 25173.20000   677.54000     0.00000   238.07010
 25249.00000   677.54000     0.00000   394.78630
 25324.80000   677.54000     0.00000   398.15800
 25400.70000   677.54000     0.00000   392.79790
